-13,28,-65,116,21,-81,31,-79,-27,13,-1,73,23,-16,-16,21
126,-77,-53,-33,-24,21,51,34,-52,-40,-4,-66,-14,-27,69,38
-32,-13,-25,-56,22,-83,-2,-61,-2,-18,28,35,-7,49,76,93
-33,76,-38,-75,49,-45,44,21,-83,-47,77,-84,-83,93,-56,14
-45,70,-15,-15,-98,24,49,25,-38,22,93,-11,4,-127,95,25
-12,77,-64,65,-47,59,-29,0,3,26,-104,-80,9,105,-10,-71
46,-47,109,55,-82,-36,18,-39,50,41,-44,-20,45,4,-19,81
23,-58,35,64,91,-68,5,87,5,33,28,-32,12,-20,3,-83
4,-19,-25,-45,26,113,-22,-15,-37,2,-44,54,4,23,-65,31
13,-6,-42,-61,-56,32,-33,81,62,28,28,6,115,-19,-84,-85
