24,-36,-6,47,-65,45,70,43,29,-39,20,71,27,4,9,-68
-8,-37,23,66,29,2,-62,-51,47,37,64,-39,61,54,-42,81
13,30,13,-58,40,-56,27,45,74,3,-41,76,-65,47,-50,-12
-51,81,98,-33,84,25,-92,-52,6,31,60,24,-34,12,8,26
-76,64,-22,-24,64,-17,104,38,-31,26,39,-41,33,-4,71,57
4,-81,32,127,-40,-15,-19,-15,-74,-90,11,45,-59,33,-40,43
-9,-46,-36,-45,-23,-39,-16,-47,-41,-31,-27,28,25,28,-41,-11
67,5,-66,-1,48,-25,79,1,-53,-68,20,-8,49,94,15,31
59,45,56,-66,-37,53,14,-2,-23,-33,-15,9,-43,57,-11,17
-24,-41,37,-18,-30,36,-36,-28,-22,29,-28,12,29,9,4,-21
56,-81,-57,-36,67,-54,68,-16,3,35,12,-80,48,61,36,35
49,-47,37,-38,38,31,6,51,-43,2,-56,-27,-16,-87,25,92
76,5,-32,-46,-17,15,-38,16,-9,-65,37,43,-29,15,-16,78
-50,61,-6,78,-75,54,-39,-28,-49,120,38,37,54,26,59,40
103,30,11,71,40,-13,20,-5,71,37,-38,-22,-13,-28,1,-82
70,-51,73,-9,6,16,44,17,64,84,-61,61,-23,-49,-24,-6
